"","Parches","Result"
"131","R131",0
"132","R132",0
"133","R133",0
"134","R134",0
"135","R135",0
"136","R136",0
"137","R137",0
"138","R138",0
"139","R139",0
"140","R140",0
"141","R141",0
"142","R142",0
"143","R143",0
"144","R144",0
"145","R145",0
"146","R146",0
"147","R147",0
"148","R148",0
"149","R149",0
"150","R150",0
"151","R151",0
"152","R152",0
"153","R153",0
"154","R154",0
"155","R155",0
"156","R156",0
"157","R157",0
"158","R158",0
"159","R159",0
"160","R160",0
"161","R161",0
"162","R162",0
"163","R163",0
"164","R164",0
"165","R165",0
"166","R166",0
"167","R167",0
"168","R168",0
"169","R169",0
"170","R170",0
"171","R171",0
"172","R172",0
"173","R173",0
"174","R174",0
"175","R175",0
"176","R176",0
"177","R177",0
"178","R178",0
"179","R179",0
"180","R180",0
"181","R181",0
"182","R182",0
"183","R183",0
"184","R184",0
"185","R185",0
"186","R186",0
"187","R187",0
"188","R188",0
"189","R189",0
"190","R190",0
"191","R191",0
"192","R192",0
"193","R193",0
"194","R194",0
"195","R195",0
"196","R196",0
"197","R197",0
"198","R198",0
"199","R199",0
"200","R200",0
"201","R201",0
"202","R202",0
"203","R203",0
"204","R204",0
"205","R205",0
"206","R206",0
"207","R207",0
"208","R208",0
"209","R209",0
"210","R210",0
"211","R211",0
"212","R212",0
"213","R213",0
"214","R214",0
"215","R215",0
"216","R216",0
"217","R217",0
"218","R218",0
"219","R219",0
"220","R220",0
"221","R221",0
"222","R222",0
"223","R223",0
"224","R224",0
"225","R225",0
"226","R226",0
"227","R227",0
"228","R228",0
"229","R229",0
"230","R230",0
"231","R231",0
"232","R232",0
"233","R233",0
"234","R234",0
"235","R235",0
"236","R236",0
"237","R237",0
"238","R238",0
"239","R239",0
"240","R240",0
"241","R241",0
"242","R242",0
"243","R243",0
"244","R244",0
"245","R245",0
"246","R246",0
"247","R247",0
"248","R248",0
"249","R249",0
"250","R250",0
"251","R251",0
"252","R252",0
"253","R253",0
"254","R254",0
"255","R255",0
"256","R256",0
"257","R257",0
"258","R258",0
"259","R259",0
"260","R260",0
"261","R261",0
"262","R262",0
"263","R263",0
"264","R264",0
"265","R265",0
"266","R266",0
"267","R267",0
"268","R268",0
"269","R269",0
"270","R270",0
"271","R271",0
"272","R272",0
"273","R273",0
"274","R274",0
"275","R275",0
"276","R276",0
"277","R277",0
"278","R278",0
"279","R279",0
"280","R280",0
"281","R281",0
"282","R282",0
"283","R283",0
"284","R284",0
"285","R285",0
"286","R286",0
"287","R287",0
"288","R288",0
"289","R289",0
"290","R290",0
"291","R291",0
"292","R292",0
"293","R293",0
"294","R294",0
"295","R295",0
"296","R296",0
"297","R297",0
"298","R298",0
"299","R299",0
"300","R300",0
"301","R301",0
"302","R302",0
"303","R303",0
"304","R304",0
"305","R305",0
"306","R306",0
"307","R307",0
"308","R308",0
"309","R309",0
"310","R310",0
"311","R311",0
"312","R312",0
"313","R313",0
"314","R314",0
"315","R315",0
"316","R316",0
"317","R317",0
"318","R318",0
"319","R319",0
"320","R320",0
"321","R321",0
"322","R322",0
"323","R323",0
"324","R324",0
"325","R325",0
"326","R326",0
"327","R327",0
"328","R328",0
"329","R329",0
"330","R330",0
"331","R331",0
"332","R332",0
"333","R333",0
"334","R334",0
"335","R335",0
"336","R336",0
"337","R337",0
"338","R338",0
"339","R339",0
"340","R340",0
"341","R341",0
"342","R342",0
"343","R343",0
"344","R344",0
"345","R345",0
"346","R346",0
"347","R347",0
"348","R348",0
"349","R349",0
"350","R350",0
"351","R351",0
"352","R352",0
"353","R353",0
"354","R354",0
"355","R355",0
"356","R356",0
"357","R357",0
"358","R358",0
"359","R359",0
"360","R360",0
"361","R361",0
"362","R362",0
"363","R363",0
"364","R364",0
"365","R365",0
"366","R366",0
"367","R367",0
"368","R368",0
"369","R369",0
"370","R370",0
"371","R371",0
"372","R372",0
"373","R373",0
"374","R374",0
"375","R375",0
"376","R376",0
"377","R377",0
"378","R378",0
"379","R379",0
"380","R380",0
"381","R381",0
"382","R382",0
"383","R383",0
"384","R384",0
"385","R385",0
"386","R386",0
"387","R387",0
"388","R388",0
"389","R389",0
"390","R390",0
"391","R391",0
"392","R392",0
"393","R393",0
"394","R394",0
"395","R395",0
"396","R396",0
"397","R397",0
"398","R398",0
"399","R399",0
"400","R400",0
"401","R401",0
"402","R402",0
"403","R403",0
"404","R404",0
"405","R405",0
"406","R406",0
"407","R407",0
"408","R408",0
"409","R409",0
"410","R410",0
"411","R411",0
"412","R412",0
"413","R413",0
"414","R414",0
"415","R415",0
"416","R416",0
"417","R417",0
"418","R418",0
"419","R419",0
"420","R420",0
"421","R421",0
"422","R422",0
"423","R423",0
"424","R424",0
"425","R425",0
"426","R426",0
"427","R427",0
"428","R428",0
"429","R429",0
"430","R430",0
"431","R431",0
"432","R432",0
"433","R433",0
"434","R434",0
"435","R435",0
"436","R436",0
"437","R437",0
"438","R438",0
"439","R439",0
"440","R440",0
"441","R441",0
"442","R442",0
"443","R443",0
"444","R444",0
"445","R445",0
"446","R446",0
"447","R447",0
"448","R448",0
"449","R449",0
"450","R450",0
"451","R451",0
"452","R452",0
"453","R453",0
"454","R454",0
"455","R455",0
"456","R456",0
"457","R457",0
"458","R458",0
"459","R459",0
"460","R460",0
"461","R461",0
"462","R462",0
"463","R463",0
"464","R464",0
"465","R465",0
"466","R466",0
"467","R467",0
"468","R468",0
"469","R469",0
"470","R470",0
"471","R471",0
"472","R472",0
"473","R473",0
"474","R474",0
"475","R475",0
"476","R476",0
"477","R477",0
"478","R478",0
"479","R479",0
"480","R480",0
"481","R481",0
"482","R482",0
"483","R483",0
"484","R484",0
"485","R485",0
"486","R486",0
"487","R487",0
"488","R488",0
"489","R489",0
"490","R490",0
"491","R491",0
"492","R492",0
"493","R493",0
"494","R494",0
"495","R495",0
"496","R496",0
"497","R497",0
"498","R498",0
"499","R499",0
"500","R500",0
"501","R501",0
"502","R502",0
"503","R503",0
"504","R504",0
"505","R505",0
"506","R506",0
"507","R507",0
"508","R508",0
"509","R509",0
"510","R510",0
"511","R511",0
"512","R512",0
"513","R513",0
"514","R514",0
"515","R515",0
"516","R516",0
"517","R517",0
"518","R518",0
"519","R519",0
"520","R520",0
"521","R521",0
"522","R522",0
"523","R523",0
"524","R524",0
"525","R525",0
"526","R526",0
"527","R527",0
"528","R528",0
"529","R529",0
"530","R530",0
"531","R531",0
"532","R532",0
"533","R533",0
"534","R534",0
"535","R535",0
"536","R536",0
"537","R537",0
"538","R538",0
"539","R539",0
"540","R540",0
"541","R541",0
"542","R542",0
"543","R543",0
"544","R544",0
"545","R545",0
"546","R546",0
"547","R547",0
"548","R548",0
"549","R549",0
"550","R550",0
"551","R551",0
"552","R552",0
"553","R553",0
"554","R554",0
"555","R555",0
"556","R556",0
"557","R557",0
"558","R558",0
"559","R559",0
"560","R560",0
"561","R561",0
"562","R562",0
"563","R563",0
"564","R564",0
"565","R565",0
"566","R566",0
"567","R567",0
"568","R568",0
"569","R569",0
"570","R570",0
"571","R571",0
"572","R572",0
"573","R573",0
"574","R574",0
"575","R575",0
"576","R576",0
"577","R577",0
"578","R578",0
"579","R579",0
"580","R580",0
"581","R581",0
"582","R582",0
"583","R583",0
"584","R584",0
"585","R585",0
"586","R586",0
"587","R587",0
"588","R588",0
"589","R589",0
"590","R590",0
"591","R591",0
"592","R592",0
"593","R593",0
"594","R594",0
"595","R595",0
"596","R596",0
"597","R597",0
"598","R598",0
"599","R599",0
"600","R600",0
"601","R601",0
"602","R602",0
"603","R603",0
"604","R604",0
"605","R605",0
"606","R606",0
"607","R607",0
"608","R608",0
"609","R609",0
"610","R610",0
"611","R611",0
"612","R612",0
"613","R613",0
"614","R614",0
"615","R615",0
"616","R616",0
"617","R617",0
"618","R618",0
"619","R619",0
"620","R620",0
"621","R621",0
"622","R622",0
"623","R623",0
"624","R624",0
"625","R625",0
"626","R626",0
"627","R627",0
"628","R628",0
"629","R629",0
"630","R630",0
"631","R631",0
"632","R632",0
"633","R633",0
"634","R634",0
"635","R635",0
"636","R636",0
"637","R637",0
"638","R638",0
"639","R639",0
"640","R640",0
"641","R641",0
"642","R642",0
"643","R643",0
"644","R644",0
"645","R645",0
"646","R646",0
"647","R647",0
"648","R648",0
"649","R649",0
"650","R650",0
"651","R651",0
"652","R652",0
"653","R653",0
"654","R654",0
"655","R655",0
"656","R656",0
"657","R657",0
"658","R658",0
"659","R659",0
"660","R660",0
"661","R661",0
"662","R662",0
"663","R663",0
"664","R664",0
"665","R665",0
"666","R666",0
"667","R667",0
"668","R668",0
"669","R669",0
"670","R670",0
"671","R671",0
"672","R672",0
"673","R673",0
"674","R674",0
"675","R675",0
"676","R676",0
"677","R677",0
"678","R678",0
"679","R679",0
"680","R680",0
"681","R681",0
"682","R682",0
"683","R683",0
"684","R684",0
"685","R685",0
"686","R686",0
"687","R687",0
"688","R688",0
"689","R689",0
"690","R690",0
"691","R691",0
"692","R692",0
"693","R693",0
"694","R694",0
"695","R695",0
"696","R696",0
"697","R697",0
"698","R698",0
"699","R699",0
"700","R700",0
"701","R701",0
"702","R702",0
"703","R703",0
"704","R704",0
"705","R705",0
"706","R706",0
"707","R707",0
"708","R708",0
"709","R709",0
"710","R710",0
"711","R711",0
"712","R712",0
"713","R713",0
"714","R714",0
"715","R715",0
"716","R716",0
"717","R717",0
"718","R718",0
"719","R719",0
"720","R720",0
"721","R721",0
"722","R722",0
"723","R723",0
"724","R724",0
"725","R725",0
"726","R726",0
"727","R727",0
"728","R728",0
"729","R729",0
"730","R730",0
"731","R731",0
"732","R732",0
"733","R733",0
"734","R734",0
"735","R735",0
"736","R736",0
"737","R737",0
"738","R738",0
"739","R739",0
"740","R740",0
"741","R741",0
"742","R742",0
"743","R743",0
"744","R744",0
"745","R745",0
"746","R746",0
"747","R747",0
"748","R748",0
"749","R749",0
"750","R750",0
"751","R751",0
"752","R752",0
"753","R753",0
"754","R754",0
"755","R755",0
"756","R756",0
"757","R757",0
"758","R758",0
"759","R759",0
"760","R760",0
"761","R761",0
"762","R762",0
"763","R763",0
"764","R764",0
"765","R765",0
"766","R766",0
"767","R767",0
"768","R768",0
"769","R769",0
"770","R770",0
"771","R771",0
"772","R772",0
"773","R773",0
"774","R774",0
"775","R775",0
"776","R776",0
"777","R777",0
"778","R778",0
"779","R779",0
"780","R780",0
"781","R781",0
"782","R782",0
"783","R783",0
"784","R784",0
"785","R785",0
"786","R786",0
"787","R787",0
"788","R788",0
"789","R789",0
"790","R790",0
"791","R791",0
"792","R792",0
"793","R793",0
"794","R794",0
"795","R795",0
"796","R796",0
"797","R797",0
"798","R798",0
"799","R799",0
"800","R800",0
"801","R801",0
"802","R802",0
"803","R803",0
"804","R804",0
"805","R805",0
"806","R806",0
"807","R807",0
"808","R808",0
"809","R809",0
"810","R810",0
"811","R811",0
"812","R812",0
"813","R813",0
"814","R814",0
"815","R815",0
"816","R816",0
"817","R817",0
"818","R818",0
"819","R819",0
"820","R820",0
"821","R821",0
"822","R822",0
"823","R823",0
"824","R824",0
"825","R825",0
"826","R826",0
"827","R827",0
"828","R828",0
"829","R829",0
"830","R830",0
"831","R831",0
"832","R832",0
"833","R833",0
"834","R834",0
"835","R835",0
"836","R836",0
"837","R837",0
"838","R838",0
"839","R839",0
"840","R840",0
"841","R841",0
"842","R842",0
"843","R843",0
"844","R844",0
"845","R845",0
"846","R846",0
"847","R847",0
"848","R848",0
"849","R849",0
"850","R850",0
"851","R851",0
"852","R852",0
"853","R853",0
"854","R854",0
"855","R855",0
"856","R856",0
"857","R857",0
"858","R858",0
"859","R859",0
"860","R860",0
"861","R861",0
"862","R862",0
"863","R863",0
"864","R864",0
"865","R865",0
"866","R866",0
"867","R867",0
"868","R868",0
"869","R869",0
"870","R870",0
"871","R871",0
"872","R872",0
"873","R873",0
"874","R874",0
"875","R875",0
"876","R876",0
"877","R877",0
"878","R878",0
"879","R879",0
"880","R880",0
"881","R881",0
"882","R882",0
"883","R883",0
"884","R884",0
"885","R885",0
"886","R886",0
"887","R887",0
"888","R888",0
"889","R889",0
"890","R890",0
"891","R891",0
"892","R892",0
"893","R893",0
"894","R894",0
"895","R895",0
"896","R896",0
"897","R897",0
"898","R898",0
"899","R899",0
"900","R900",0
"901","R901",0
"902","R902",0
"903","R903",0
"904","R904",0
"905","R905",0
"906","R906",0
"907","R907",0
"908","R908",0
"909","R909",0
"910","R910",0
"911","R911",0
"912","R912",0
"913","R913",0
"914","R914",0
"915","R915",0
"916","R916",0
"917","R917",0
"918","R918",0
"919","R919",0
"920","R920",0
"921","R921",0
"922","R922",0
"923","R923",0
"924","R924",0
"925","R925",0
"926","R926",0
"927","R927",0
"928","R928",0
"929","R929",0
"930","R930",0
"931","R931",0
"932","R932",0
"933","R933",0
"934","R934",0
"935","R935",0
"936","R936",0
"937","R937",0
"938","R938",0
"939","R939",0
"940","R940",0
"941","R941",0
"942","R942",0
"943","R943",0
"944","R944",0
"945","R945",0
"946","R946",0
"947","R947",0
"948","R948",0
"949","R949",0
"950","R950",0
"951","R951",0
"952","R952",0
"953","R953",0
"954","R954",0
"955","R955",0
"956","R956",0
"957","R957",0
"958","R958",0
"959","R959",0
"960","R960",0
"961","R961",0
"962","R962",0
"963","R963",0
"964","R964",0
"965","R965",0
"966","R966",0
"967","R967",0
"968","R968",0
"969","R969",0
"970","R970",0
"971","R971",0
"972","R972",0
"973","R973",0
"974","R974",0
"975","R975",0
"976","R976",0
"977","R977",0
"978","R978",0
"979","R979",0
"980","R980",0
"981","R981",0
"982","R982",0
"983","R983",0
"984","R984",0
"985","R985",0
"986","R986",0
"987","R987",0
"988","R988",0
"989","R989",0
"990","R990",0
"991","R991",0
"992","R992",0
"993","R993",0
"994","R994",0
"995","R995",0
"996","R996",0
"997","R997",0
"998","R998",0
"999","R999",0
"1000","R1000",0
"1001","R1001",0
"1002","R1002",0
"1003","R1003",0
"1004","R1004",0
"1005","R1005",0
"1006","R1006",0
"1007","R1007",0
"1008","R1008",0
"1009","R1009",0
"1010","R1010",0
"1011","R1011",0
"1012","R1012",0
"1013","R1013",0
"1014","R1014",0
"1015","R1015",0
"1016","R1016",0
"1017","R1017",0
"1018","R1018",0
"1019","R1019",0
"1020","R1020",0
"1021","R1021",0
"1022","R1022",0
"1023","R1023",0
"1024","R1024",0
"1025","R1025",0
"1026","R1026",0
"1027","R1027",0
"1028","R1028",0
"1029","R1029",0
"1030","R1030",0
"1031","R1031",0
"1032","R1032",0
"1033","R1033",0
"1034","R1034",0
"1035","R1035",0
"1036","R1036",0
"1037","R1037",0
"1038","R1038",0
"1039","R1039",0
"1040","R1040",0
"1041","R1041",0
"1042","R1042",0
"1043","R1043",0
"1044","R1044",0
"1045","R1045",0
"1046","R1046",0
"1047","R1047",0
"1048","R1048",0
"1049","R1049",0
"1050","R1050",0
"1051","R1051",0
"1052","R1052",0
"1053","R1053",0
"1054","R1054",0
"1055","R1055",0
"1056","R1056",0
"1057","R1057",0
"1058","R1058",0
"1059","R1059",0
"1060","R1060",0
"1061","R1061",0
"1062","R1062",0
"1063","R1063",0
"1064","R1064",0
"1065","R1065",0
"1066","R1066",0
"1067","R1067",0
"1068","R1068",0
"1069","R1069",0
"1070","R1070",0
"1071","R1071",0
"1072","R1072",0
"1073","R1073",0
"1074","R1074",0
"1075","R1075",0
"1076","R1076",0
"1077","R1077",0
"1078","R1078",0
"1079","R1079",0
"1080","R1080",0
"1081","R1081",0
"1082","R1082",0
"1083","R1083",0
"1084","R1084",0
"1085","R1085",0
"1086","R1086",0
"1087","R1087",0
"1088","R1088",0
"1089","R1089",0
"1090","R1090",0
"1091","R1091",0
"1092","R1092",0
"1093","R1093",0
"1094","R1094",0
"1095","R1095",0
"1096","R1096",0
"1097","R1097",0
"1098","R1098",0
"1099","R1099",0
"1100","R1100",0
"1101","R1101",0
"1102","R1102",0
"1103","R1103",0
"1104","R1104",0
"1105","R1105",0
"1106","R1106",0
"1107","R1107",0
"1108","R1108",0
"1109","R1109",0
"1110","R1110",0
"1111","R1111",0
"1112","R1112",0
"1113","R1113",0
"1114","R1114",0
"1115","R1115",0
"1116","R1116",0
"1117","R1117",0
"1118","R1118",0
"1119","R1119",0
"1120","R1120",0
"1121","R1121",0
"1122","R1122",0
"1123","R1123",0
"1124","R1124",0
"1125","R1125",0
"1126","R1126",0
"1127","R1127",0
"1128","R1128",0
"1129","R1129",0
"1130","R1130",0
"1131","R1131",0
"1132","R1132",0
"1133","R1133",0
"1134","R1134",0
"1135","R1135",0
"1136","R1136",0
"1137","R1137",0
"1138","R1138",0
"1139","R1139",0
"1140","R1140",0
"1141","R1141",0
"1142","R1142",0
"1143","R1143",0
"1144","R1144",0
"1145","R1145",0
"1146","R1146",0
"1147","R1147",0
"1148","R1148",0
"1149","R1149",0
"1150","R1150",0
"1151","R1151",0
"1152","R1152",0
"1153","R1153",0
"1154","R1154",0
"1155","R1155",0
"1156","R1156",0
"1157","R1157",0
"1158","R1158",0
"1159","R1159",0
"1160","R1160",0
"1161","R1161",0
"1162","R1162",0
"1163","R1163",0
"1164","R1164",0
"1165","R1165",0
"1166","R1166",0
"1167","R1167",0
"1168","R1168",0
"1169","R1169",0
"1170","R1170",0
"1171","R1171",0
"1172","R1172",0
"1173","R1173",0
"1174","R1174",0
"1175","R1175",0
"1176","R1176",0
"1177","R1177",0
"1178","R1178",0
"1179","R1179",0
"1180","R1180",0
"1181","R1181",0
"1182","R1182",0
"1183","R1183",0
"1184","R1184",0
"1185","R1185",0
"1186","R1186",0
"1187","R1187",0
"1188","R1188",0
"1189","R1189",0
"1190","R1190",0
"1191","R1191",0
"1192","R1192",0
"1193","R1193",0
"1194","R1194",0
"1195","R1195",0
"1196","R1196",0
"1197","R1197",0
"1198","R1198",0
"1199","R1199",0
"1200","R1200",0
"1201","R1201",0
"1202","R1202",0
"1203","R1203",0
"1204","R1204",0
"1205","R1205",0
"1206","R1206",0
"1207","R1207",0
"1208","R1208",0
"1209","R1209",0
"1210","R1210",0
"1211","R1211",0
"1212","R1212",0
"1213","R1213",0
"1214","R1214",0
"1215","R1215",0
"1216","R1216",0
"1217","R1217",0
"1218","R1218",0
"1219","R1219",0
"1220","R1220",0
"1221","R1221",0
"1222","R1222",0
"1223","R1223",0
"1224","R1224",0
"1225","R1225",0
"1226","R1226",0
"1227","R1227",0
"1228","R1228",0
"1229","R1229",0
"1230","R1230",0
"1231","R1231",0
"1232","R1232",0
"1233","R1233",0
"1234","R1234",0
"1235","R1235",0
"1236","R1236",0
"1237","R1237",0
"1238","R1238",0
"1239","R1239",0
"1240","R1240",0
"1241","R1241",0
"1242","R1242",0
"1243","R1243",0
"1244","R1244",0
"1245","R1245",0
"1246","R1246",0
"1247","R1247",0
"1248","R1248",0
"1249","R1249",0
"1250","R1250",0
"1251","R1251",0
"1252","R1252",0
"1253","R1253",0
"1254","R1254",0
"1255","R1255",0
"1256","R1256",0
"1257","R1257",0
"1258","R1258",0
"1259","R1259",0
"1260","R1260",0
"1261","R1261",0
"1262","R1262",0
"1263","R1263",0
"1264","R1264",0
"1265","R1265",0
"1266","R1266",0
"1267","R1267",0
"1268","R1268",0
"1269","R1269",0
"1270","R1270",0
"1271","R1271",0
"1272","R1272",0
"1273","R1273",0
"1274","R1274",0
"1275","R1275",0
"1276","R1276",0
"1277","R1277",0
"1278","R1278",0
"1279","R1279",0
"1280","R1280",0
"1281","R1281",0
"1282","R1282",0
"1283","R1283",0
"1284","R1284",0
"1285","R1285",0
"1286","R1286",0
"1287","R1287",0
"1288","R1288",0
"1289","R1289",0
"1290","R1290",0
"1291","R1291",0
"1292","R1292",0
"1293","R1293",0
"1294","R1294",0
"1295","R1295",0
"1296","R1296",0
"1297","R1297",0
"1298","R1298",0
"1299","R1299",0
"1300","R1300",0
"1301","R1301",0
"1302","R1302",0
"1303","R1303",0
"1304","R1304",0
"1305","R1305",0
"1306","R1306",0
"1307","R1307",0
"1308","R1308",0
"1309","R1309",0
"1310","R1310",0
"1311","R1311",0
"1312","R1312",0
"1313","R1313",0
"1314","R1314",0
"1315","R1315",0
"1316","R1316",0
"1317","R1317",0
"1318","R1318",0
"1319","R1319",0
"1320","R1320",0
"1321","R1321",0
"1322","R1322",0
"1323","R1323",0
"1324","R1324",0
"1325","R1325",0
"1326","R1326",0
"1327","R1327",0
"1328","R1328",0
"1329","R1329",0
"1330","R1330",0
"1331","R1331",0
"1332","R1332",0
"1333","R1333",0
"1334","R1334",0
"1335","R1335",0
"1336","R1336",0
"1337","R1337",0
"1338","R1338",0
"1339","R1339",0
"1340","R1340",0
"1341","R1341",0
"1342","R1342",0
"1343","R1343",0
"1344","R1344",0
"1345","R1345",0
"1346","R1346",0
"1347","R1347",0
"1348","R1348",0
"1349","R1349",0
"1350","R1350",0
"1351","R1351",0
"1352","R1352",0
"1353","R1353",0
"1354","R1354",0
"1355","R1355",0
"1356","R1356",0
"1357","R1357",0
"1358","R1358",0
"1359","R1359",0
"1360","R1360",0
"1361","R1361",0
"1362","R1362",0
"1363","R1363",0
"1364","R1364",0
"1365","R1365",0
"1366","R1366",0
"1367","R1367",0
"1368","R1368",0
"1369","R1369",0
"1370","R1370",0
"1371","R1371",0
"1372","R1372",0
"1373","R1373",0
"1374","R1374",0
"1375","R1375",0
"1376","R1376",0
"1377","R1377",0
"1378","R1378",0
"1379","R1379",0
"1380","R1380",0
"1381","R1381",0
"1382","R1382",0
"1383","R1383",0
"1384","R1384",0
"1385","R1385",0
"1386","R1386",0
"1387","R1387",0
"1388","R1388",0
"1389","R1389",0
"1390","R1390",0
"1391","R1391",0
"1392","R1392",0
"1393","R1393",0
"1394","R1394",0
"1395","R1395",0
"1396","R1396",0
"1397","R1397",0
"1398","R1398",0
"1399","R1399",0
"1400","R1400",0
"1401","R1401",0
"1402","R1402",0
"1403","R1403",0
"1404","R1404",0
"1405","R1405",0
"1406","R1406",0
"1407","R1407",0
"1408","R1408",0
"1409","R1409",0
"1410","R1410",0
"1411","R1411",0
"1412","R1412",0
"1413","R1413",0
"1414","R1414",0
"1415","R1415",0
"1416","R1416",0
"1417","R1417",0
"1418","R1418",0
"1419","R1419",0
"1420","R1420",0
"1421","R1421",0
"1422","R1422",0
"1423","R1423",0
"1424","R1424",0
"1425","R1425",0
"1426","R1426",0
"1427","R1427",0
"1428","R1428",0
"1429","R1429",0
"1430","R1430",0
"1431","R1431",0
"1432","R1432",0
"1433","R1433",0
"1434","R1434",0
"1435","R1435",0
"1436","R1436",0
"1437","R1437",0
"1438","R1438",0
"1439","R1439",0
"1440","R1440",0
"1441","R1441",0
"1442","R1442",0
"1443","R1443",0
"1444","R1444",0
"1445","R1445",0
"1446","R1446",0
"1447","R1447",0
"1448","R1448",0
"1449","R1449",0
"1450","R1450",0
"1451","R1451",0
"1452","R1452",0
"1453","R1453",0
"1454","R1454",0
"1455","R1455",0
"1456","R1456",0
"1457","R1457",0
"1458","R1458",0
"1459","R1459",0
"1460","R1460",0
"1461","R1461",0
"1462","R1462",0
"1463","R1463",0
"1464","R1464",0
"1465","R1465",0
"1466","R1466",0
"1467","R1467",0
"1468","R1468",0
"1469","R1469",0
"1470","R1470",0
"1471","R1471",0
"1472","R1472",0
"1473","R1473",0
"1474","R1474",0
"1475","R1475",0
"1476","R1476",0
"1477","R1477",0
"1478","R1478",0
"1479","R1479",0
"1480","R1480",0
"1481","R1481",0
"1482","R1482",0
"1483","R1483",0
"1484","R1484",0
"1485","R1485",0
"1486","R1486",0
"1487","R1487",0
"1488","R1488",0
"1489","R1489",0
"1490","R1490",0
"1491","R1491",0
"1492","R1492",0
"1493","R1493",0
"1494","R1494",0
"1495","R1495",0
"1496","R1496",0
"1497","R1497",0
"1498","R1498",0
"1499","R1499",0
"1500","R1500",0
"1501","R1501",0
"1502","R1502",0
"1503","R1503",0
"1504","R1504",0
"1505","R1505",0
"1506","R1506",0
"1507","R1507",0
"1508","R1508",0
"1509","R1509",0
"1510","R1510",0
"1511","R1511",0
"1512","R1512",0
"1513","R1513",0
"1514","R1514",0
"1515","R1515",0
"1516","R1516",0
"1517","R1517",0
"1518","R1518",0
"1519","R1519",0
"1520","R1520",0
"1521","R1521",0
"1522","R1522",0
"1523","R1523",0
"1524","R1524",0
"1525","R1525",0
"1526","R1526",0
"1527","R1527",0
"1528","R1528",0
"1529","R1529",0
"1530","R1530",0
"1531","R1531",0
"1532","R1532",0
"1533","R1533",0
"1534","R1534",0
"1535","R1535",0
"1536","R1536",0
"1537","R1537",0
"1538","R1538",0
"1539","R1539",0
"1540","R1540",0
"1541","R1541",0
"1542","R1542",0
"1543","R1543",0
"1544","R1544",0
"1545","R1545",0
"1546","R1546",0
"1547","R1547",0
"1548","R1548",0
"1549","R1549",0
"1550","R1550",0
"1551","R1551",0
"1552","R1552",0
"1553","R1553",0
"1554","R1554",0
"1555","R1555",0
"1556","R1556",0
"1557","R1557",0
"1558","R1558",0
"1559","R1559",0
"1560","R1560",0
"1561","R1561",0
"1562","R1562",0
"1563","R1563",0
"1564","R1564",0
"1565","R1565",0
"1566","R1566",0
"1567","R1567",0
"1568","R1568",0
"1569","R1569",0
"1570","R1570",0
"1571","R1571",0
"1572","R1572",0
"1573","R1573",0
"1574","R1574",0
"1575","R1575",0
"1576","R1576",0
"1577","R1577",0
"1578","R1578",0
"1579","R1579",0
"1580","R1580",0
"1581","R1581",0
"1582","R1582",0
"1583","R1583",0
"1584","R1584",0
"1585","R1585",0
"1586","R1586",0
"1587","R1587",0
"1588","R1588",0
"1589","R1589",0
"1590","R1590",0
"1591","R1591",0
"1592","R1592",0
"1593","R1593",0
"1594","R1594",0
"1595","R1595",0
"1596","R1596",0
"1597","R1597",0
